algorithm,vector_size,elapsed_time
4,		1024,	1.68227
4,		1024,	1.70973
4,		1024,	2.1479
4,		1024,	1.64237
4,		1024,	1.7201
4,		2048,	1.7856
4,		2048,	1.75162
4,		2048,	1.76854
4,		2048,	1.75885
4,		2048,	1.80845
4,		4096,	1.78067
4,		4096,	1.86691
4,		4096,	1.81382
4,		4096,	1.81939
4,		4096,	1.79626
4,		8192,	2.01357
4,		8192,	1.98115
4,		8192,	1.99962
4,		8192,	1.97558
4,		8192,	2.07456
4,		16384,	2.40826
4,		16384,	2.39837
4,		16384,	3.52144
4,		16384,	2.81338
4,		16384,	2.41427
4,		32768,	3.2599
4,		32768,	3.29149
4,		32768,	3.43242
4,		32768,	3.28592
4,		32768,	3.44362
4,		65536,	5.55267
4,		65536,	5.27856
4,		65536,	5.62928
4,		65536,	5.44253
4,		65536,	5.39859
4,		131072,	9.468
4,		131072,	10.0442
4,		131072,	9.76886
4,		131072,	10.2739
4,		131072,	11.3658
4,		262144,	17.836
4,		262144,	17.7489
4,		262144,	15.5341
4,		262144,	15.9039
4,		262144,	18.2469
4,		524288,	40.3363
4,		524288,	40.7012
4,		524288,	40.9487
4,		524288,	40.1377
4,		524288,	40.4578
4,		1048576,	131.883
4,		1048576,	166.168
4,		1048576,	137.388
4,		1048576,	150.97
4,		1048576,	163.012
16,		1024,	1.68029
16,		1024,	1.72912
16,		1024,	1.68701
16,		1024,	2.13558
16,		1024,	1.73766
16,		2048,	1.75405
16,		2048,	1.95821
16,		2048,	1.9136
16,		2048,	1.79978
16,		2048,	1.86096
16,		4096,	1.85059
16,		4096,	1.95062
16,		4096,	2.71984
16,		4096,	1.93434
16,		4096,	1.88333
16,		8192,	2.05901
16,		8192,	1.9719
16,		8192,	2.01226
16,		8192,	1.99917
16,		8192,	1.98333
16,		16384,	2.43584
16,		16384,	2.58301
16,		16384,	2.75606
16,		16384,	2.39715
16,		16384,	2.43405
16,		32768,	3.35382
16,		32768,	3.29734
16,		32768,	3.40406
16,		32768,	3.3945
16,		32768,	3.96566
16,		65536,	5.28979
16,		65536,	7.99728
16,		65536,	5.74368
16,		65536,	5.89914
16,		65536,	5.28368
16,		131072,	9.61878
16,		131072,	9.32902
16,		131072,	9.97443
16,		131072,	9.49462
16,		131072,	10.0073
16,		262144,	18.4751
16,		262144,	18.7231
16,		262144,	18.8228
16,		262144,	17.7669
16,		262144,	17.7676
16,		524288,	41.8226
16,		524288,	57.2162
16,		524288,	60.0878
16,		524288,	81.1169
16,		524288,	52.0938
16,		1048576,	196.823
16,		1048576,	134.788
16,		1048576,	186.318
16,		1048576,	148.108
16,		1048576,	178.865
32,		1024,	1.78394
32,		1024,	1.68042
32,		1024,	1.76368
32,		1024,	1.912
32,		1024,	2.38944
32,		2048,	1.8511
32,		2048,	1.88128
32,		2048,	2.06784
32,		2048,	2.10285
32,		2048,	2.16563
32,		4096,	2.14938
32,		4096,	2.09571
32,		4096,	2.0167
32,		4096,	1.91386
32,		4096,	2.12864
32,		8192,	2.15514
32,		8192,	2.0367
32,		8192,	2.06192
32,		8192,	1.98003
32,		8192,	2.00186
32,		16384,	2.61802
32,		16384,	2.88237
32,		16384,	4.77574
32,		16384,	2.67696
32,		16384,	2.77904
32,		32768,	3.30218
32,		32768,	3.31642
32,		32768,	3.33424
32,		32768,	3.3912
32,		32768,	3.31322
32,		65536,	5.5079
32,		65536,	5.49018
32,		65536,	5.26678
32,		65536,	5.40736
32,		65536,	5.33526
32,		131072,	9.49795
32,		131072,	10.4182
32,		131072,	10.444
32,		131072,	10.429
32,		131072,	9.84858
32,		262144,	19.0258
32,		262144,	17.9757
32,		262144,	50.845
32,		262144,	18.827
32,		262144,	18.4327
32,		524288,	40.1712
32,		524288,	75.5815
32,		524288,	40.8695
32,		524288,	52.0868
32,		524288,	43.5444
32,		1048576,	127.268
32,		1048576,	150.593
32,		1048576,	173.75
32,		1048576,	166.942
32,		1048576,	142.093
128,		1024,	1.79002
128,		1024,	1.65443
128,		1024,	2.23162
128,		1024,	1.96755
128,		1024,	1.92822
128,		2048,	2.47808
128,		2048,	2.26243
128,		2048,	1.92922
128,		2048,	1.93402
128,		2048,	1.87619
128,		4096,	2.57917
128,		4096,	2.06013
128,		4096,	2.03354
128,		4096,	2.86122
128,		4096,	2.09635
128,		8192,	3.14109
128,		8192,	2.0359
128,		8192,	2.06022
128,		8192,	2.06282
128,		8192,	1.9992
128,		16384,	2.41507
128,		16384,	2.44016
128,		16384,	2.46634
128,		16384,	2.5127
128,		16384,	2.45114
128,		32768,	3.34445
128,		32768,	3.31677
128,		32768,	3.45677
128,		32768,	3.33494
128,		32768,	3.34778
128,		65536,	5.33658
128,		65536,	5.4017
128,		65536,	5.57741
128,		65536,	5.77933
128,		65536,	5.63504
128,		131072,	11.5844
128,		131072,	10.2999
128,		131072,	10.1244
128,		131072,	9.56358
128,		131072,	10.3632
128,		262144,	19.1751
128,		262144,	18.7824
128,		262144,	18.7874
128,		262144,	18.6568
128,		262144,	19.6491
128,		524288,	35.9504
128,		524288,	41.5668
128,		524288,	52.9109
128,		524288,	40.9964
128,		524288,	43.4785
128,		1048576,	126.97
128,		1048576,	148.209
128,		1048576,	132.181
128,		1048576,	167.426
128,		1048576,	131.599
512,		1024,	1.9457
512,		1024,	1.86122
512,		1024,	2.00509
512,		1024,	1.8511
512,		1024,	1.89238
512,		2048,	1.89923
512,		2048,	2.06429
512,		2048,	2.0151
512,		2048,	2.56419
512,		2048,	2.71875
512,		4096,	2.82125
512,		4096,	2.08246
512,		4096,	2.07402
512,		4096,	1.8952
512,		4096,	2.68621
512,		8192,	2.25818
512,		8192,	2.18627
512,		8192,	2.45949
512,		8192,	2.58493
512,		8192,	2.55581
512,		16384,	2.63834
512,		16384,	2.92438
512,		16384,	2.54694
512,		16384,	3.1359
512,		16384,	2.87798
512,		32768,	3.69968
512,		32768,	4.08282
512,		32768,	3.87696
512,		32768,	4.05514
512,		32768,	4.5479
512,		65536,	6.11626
512,		65536,	6.47805
512,		65536,	6.25741
512,		65536,	5.81219
512,		65536,	5.76099
512,		131072,	10.4761
512,		131072,	10.5716
512,		131072,	9.2521
512,		131072,	9.91949
512,		131072,	10.9805
512,		262144,	22.2529
512,		262144,	20.5297
512,		262144,	20.8598
512,		262144,	23.809
512,		262144,	21.6128
512,		524288,	59.0573
512,		524288,	106.144
512,		524288,	92.3952
512,		524288,	63.2475
512,		524288,	65.0013
512,		1048576,	155.465
512,		1048576,	155.631
512,		1048576,	153.833
512,		1048576,	186.157
512,		1048576,	164.424
1024,		1024,	2.83574
1024,		1024,	1.9943
1024,		1024,	2.48822
1024,		1024,	2.31357
1024,		1024,	3.50499
1024,		2048,	2.1631
1024,		2048,	2.18032
1024,		2048,	1.98813
1024,		2048,	2.7176
1024,		2048,	2.03779
1024,		4096,	2.32944
1024,		4096,	2.02058
1024,		4096,	2.01418
1024,		4096,	2.13792
1024,		4096,	2.00605
1024,		8192,	2.16253
1024,		8192,	2.2503
1024,		8192,	2.13459
1024,		8192,	2.24128
1024,		8192,	2.25619
1024,		16384,	2.71171
1024,		16384,	3.65184
1024,		16384,	3.25443
1024,		16384,	3.6688
1024,		16384,	3.1152
1024,		32768,	3.50218
1024,		32768,	3.73882
1024,		32768,	3.66618
1024,		32768,	4.86058
1024,		32768,	3.41808
1024,		65536,	6.22154
1024,		65536,	5.61939
1024,		65536,	7.47722
1024,		65536,	7.87082
1024,		65536,	9.6616
1024,		131072,	12.5633
1024,		131072,	12.6223
1024,		131072,	13.8573
1024,		131072,	16.0309
1024,		131072,	17.6583
1024,		262144,	30.0135
1024,		262144,	18.7932
1024,		262144,	18.7636
1024,		262144,	18.7819
1024,		262144,	51.1323
1024,		524288,	52.3429
1024,		524288,	50.3937
1024,		524288,	65.0833
1024,		524288,	41.978
1024,		524288,	48.676
1024,		1048576,	131.78
1024,		1048576,	142.416
1024,		1048576,	129.778
1024,		1048576,	147.178
1024,		1048576,	135.887
